split,method,seed,n,task_success,safety_violation,authority_regret,human_burden,late_handoff,handoff_churn,recovery_success,intervention_cost,boundary_calibration_error,override_precision,unsafe_autonomy,robust_utility
authority_churn_shift,authority_boundary_v4,0,192,0.338542,0.218750,0.346152,0.831727,0.309520,0.489518,0.557444,0.382981,0.263500,0.504342,0.046621,-0.185204
authority_churn_shift,authority_boundary_v4,1,192,0.270833,0.218750,0.345329,0.828982,0.308013,0.488890,0.557944,0.382233,0.262005,0.503994,0.046579,-0.251616
authority_churn_shift,authority_boundary_v4,2,192,0.333333,0.223958,0.345537,0.829523,0.308441,0.488908,0.556225,0.383141,0.263752,0.502314,0.046666,-0.192826
authority_churn_shift,authority_boundary_v4,3,192,0.369792,0.192708,0.345655,0.828402,0.308322,0.488418,0.557784,0.382173,0.263353,0.503539,0.046993,-0.136454
authority_churn_shift,authority_boundary_v4,4,192,0.312500,0.203125,0.345775,0.830429,0.308345,0.488057,0.558515,0.383480,0.265082,0.502477,0.046947,-0.200753
authority_churn_shift,authority_boundary_v4,5,192,0.354167,0.197917,0.345198,0.827792,0.306660,0.489033,0.557843,0.382475,0.263262,0.503102,0.047098,-0.154881
authority_churn_shift,authority_boundary_v4,6,192,0.312500,0.244792,0.345796,0.830744,0.307669,0.489497,0.557729,0.382315,0.263125,0.503827,0.046632,-0.226678
authority_churn_shift,authority_boundary_v4,7,192,0.260417,0.255208,0.345598,0.830309,0.309796,0.487981,0.557930,0.382198,0.263201,0.501353,0.046699,-0.285197
authority_churn_shift,authority_boundary_v4,8,192,0.296875,0.213542,0.346316,0.830976,0.311229,0.491007,0.556968,0.383437,0.263212,0.501740,0.046617,-0.224038
authority_churn_shift,authority_boundary_v4,9,192,0.250000,0.197917,0.345182,0.830031,0.307443,0.488784,0.554051,0.383514,0.264092,0.507062,0.046787,-0.260084
authority_churn_shift,authority_boundary_v5,0,192,0.354167,0.192708,0.309500,0.676868,0.293637,0.472117,0.624349,0.367223,0.253565,0.532486,0.067433,-0.095546
authority_churn_shift,authority_boundary_v5,1,192,0.354167,0.197917,0.310220,0.677099,0.293566,0.468712,0.624162,0.368112,0.252973,0.534098,0.067824,-0.098695
authority_churn_shift,authority_boundary_v5,2,192,0.390625,0.239583,0.310357,0.676985,0.295221,0.470794,0.624592,0.370040,0.253072,0.534011,0.067099,-0.088750
authority_churn_shift,authority_boundary_v5,3,192,0.427083,0.213542,0.308453,0.673615,0.292701,0.469088,0.626061,0.366969,0.255322,0.532508,0.067939,-0.033828
authority_churn_shift,authority_boundary_v5,4,192,0.338542,0.218750,0.311039,0.676502,0.294280,0.469248,0.625873,0.368650,0.253840,0.532850,0.067509,-0.127393
authority_churn_shift,authority_boundary_v5,5,192,0.401042,0.208333,0.309266,0.673937,0.294632,0.469067,0.624059,0.367962,0.252897,0.535055,0.068487,-0.057487
authority_churn_shift,authority_boundary_v5,6,192,0.317708,0.229167,0.310439,0.676307,0.291888,0.470428,0.624775,0.367306,0.254042,0.532756,0.067274,-0.154201
authority_churn_shift,authority_boundary_v5,7,192,0.390625,0.223958,0.309210,0.676972,0.294464,0.470643,0.622823,0.368396,0.253047,0.535508,0.067545,-0.078610
authority_churn_shift,authority_boundary_v5,8,192,0.385417,0.218750,0.310336,0.678020,0.295864,0.469759,0.625320,0.369012,0.254714,0.534075,0.067491,-0.081102
authority_churn_shift,authority_boundary_v5,9,192,0.406250,0.192708,0.312286,0.675631,0.291980,0.468357,0.625410,0.368450,0.253108,0.533918,0.067524,-0.043184
authority_churn_shift,bayesian_authority_allocation,0,192,0.375000,0.260417,0.330177,0.700153,0.329203,0.460383,0.545502,0.361179,0.252279,0.492509,0.068356,-0.137436
authority_churn_shift,bayesian_authority_allocation,1,192,0.359375,0.187500,0.330100,0.699171,0.328243,0.459295,0.544728,0.362086,0.252752,0.493782,0.068643,-0.107466
