case_id,split,method,trigger,failure_mode,reviewer_attack,terminal_effect
neg90_01,low_signal_high_risk_shift,authority_boundary_v5,boundary confidence is high while obstacle hazard is under-observed,late controller takeover and avoidable safety violation,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_02,combined_authority_stress,authority_boundary_v5,human delay and ambiguity both high,handoff burden rises without recovering MPC-level success,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_03,authority_churn_shift,authority_boundary_v5,hysteresis suppresses rapid but useful control transfer,task completion trails recovery-aware MPC,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_04,fragile_object_shift,authority_boundary_v5,fragility dominates authority scoring,CBF prevents contact better with lower burden,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_05,contact_mode_shift,authority_boundary_v4,old boundary over-trusts intent confidence,contact-mode slip causes high regret,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_06,human_delay_shift,fixed_human_teleoperation,operator authority is always granted,burden saturates and late actions accumulate,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_07,low_signal_high_risk_shift,authority_boundary_v5,boundary confidence is high while obstacle hazard is under-observed,late controller takeover and avoidable safety violation,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_08,combined_authority_stress,authority_boundary_v5,human delay and ambiguity both high,handoff burden rises without recovering MPC-level success,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_09,authority_churn_shift,authority_boundary_v5,hysteresis suppresses rapid but useful control transfer,task completion trails recovery-aware MPC,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_10,fragile_object_shift,authority_boundary_v5,fragility dominates authority scoring,CBF prevents contact better with lower burden,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_11,contact_mode_shift,authority_boundary_v4,old boundary over-trusts intent confidence,contact-mode slip causes high regret,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_12,human_delay_shift,fixed_human_teleoperation,operator authority is always granted,burden saturates and late actions accumulate,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_13,low_signal_high_risk_shift,authority_boundary_v5,boundary confidence is high while obstacle hazard is under-observed,late controller takeover and avoidable safety violation,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_14,combined_authority_stress,authority_boundary_v5,human delay and ambiguity both high,handoff burden rises without recovering MPC-level success,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_15,authority_churn_shift,authority_boundary_v5,hysteresis suppresses rapid but useful control transfer,task completion trails recovery-aware MPC,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_16,fragile_object_shift,authority_boundary_v5,fragility dominates authority scoring,CBF prevents contact better with lower burden,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_17,contact_mode_shift,authority_boundary_v4,old boundary over-trusts intent confidence,contact-mode slip causes high regret,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_18,human_delay_shift,fixed_human_teleoperation,operator authority is always granted,burden saturates and late actions accumulate,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_19,low_signal_high_risk_shift,authority_boundary_v5,boundary confidence is high while obstacle hazard is under-observed,late controller takeover and avoidable safety violation,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_20,combined_authority_stress,authority_boundary_v5,human delay and ambiguity both high,handoff burden rises without recovering MPC-level success,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_21,authority_churn_shift,authority_boundary_v5,hysteresis suppresses rapid but useful control transfer,task completion trails recovery-aware MPC,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_22,fragile_object_shift,authority_boundary_v5,fragility dominates authority scoring,CBF prevents contact better with lower burden,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_23,contact_mode_shift,authority_boundary_v4,old boundary over-trusts intent confidence,contact-mode slip causes high regret,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
neg90_24,human_delay_shift,fixed_human_teleoperation,operator authority is always granted,burden saturates and late actions accumulate,A hostile reviewer can ask why a simpler certified or MPC authority rule is not enough.,Counts against ICLR-main readiness.
