seed,split,task,ablation,episode,task_success,safety_violation,authority_regret,human_burden,late_handoff,handoff_churn,recovery_success,intervention_cost,boundary_calibration_error,override_precision,unsafe_autonomy,robust_utility,risk_estimate
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,0,0.000000,0.000000,0.313280,0.660995,0.289217,0.412008,0.607504,0.353202,0.296201,0.489048,0.079624,-0.319395,0.318557
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,1,0.000000,0.000000,0.302868,0.643172,0.264885,0.391925,0.659119,0.353321,0.283092,0.498559,0.082548,-0.302093,0.322945
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,2,0.000000,0.000000,0.313020,0.688362,0.273916,0.429092,0.624624,0.351509,0.299496,0.495891,0.071549,-0.323960,0.330505
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,3,0.000000,0.000000,0.288787,0.660367,0.287332,0.410764,0.615065,0.366967,0.285163,0.477848,0.079950,-0.313441,0.324346
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,4,0.000000,0.000000,0.330759,0.655892,0.267329,0.407941,0.631996,0.341427,0.283466,0.505773,0.083456,-0.315413,0.329401
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,5,1.000000,0.000000,0.298090,0.644162,0.270300,0.423035,0.623750,0.337673,0.285533,0.461823,0.082941,0.692999,0.329620
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,6,0.000000,0.000000,0.283599,0.647531,0.254584,0.390814,0.630747,0.347398,0.274723,0.503871,0.080754,-0.298218,0.307492
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,7,0.000000,1.000000,0.300065,0.639314,0.252896,0.410439,0.619368,0.357769,0.272487,0.501319,0.092623,-0.924395,0.347132
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,8,0.000000,0.000000,0.321810,0.704659,0.279291,0.426239,0.634091,0.362728,0.283729,0.454472,0.075420,-0.330951,0.349282
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,9,0.000000,0.000000,0.299658,0.709822,0.282889,0.365409,0.645302,0.361934,0.273265,0.488947,0.069236,-0.318952,0.317398
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,10,1.000000,0.000000,0.320875,0.654248,0.279185,0.401821,0.610082,0.344229,0.279748,0.502186,0.084947,0.684257,0.340539
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,11,1.000000,1.000000,0.295366,0.666543,0.264628,0.428760,0.621835,0.349501,0.276425,0.501587,0.079552,0.067193,0.336408
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,12,1.000000,0.000000,0.303315,0.647996,0.246370,0.357135,0.655148,0.337648,0.256369,0.508643,0.078785,0.705024,0.298161
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,13,1.000000,1.000000,0.291220,0.659261,0.276597,0.401243,0.634715,0.341672,0.279684,0.491361,0.085826,0.073178,0.337844
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,14,1.000000,0.000000,0.298406,0.674526,0.236326,0.376448,0.634874,0.340412,0.276944,0.490096,0.077038,0.697275,0.328125
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,15,0.000000,1.000000,0.278830,0.680845,0.272708,0.384327,0.654314,0.347715,0.296604,0.494456,0.074834,-0.925289,0.333114
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,16,1.000000,0.000000,0.302563,0.624875,0.275492,0.370996,0.630538,0.325392,0.279005,0.476614,0.093579,0.703695,0.352195
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,17,1.000000,0.000000,0.307220,0.656589,0.307576,0.394525,0.617100,0.355924,0.282467,0.487009,0.083640,0.682834,0.345484
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,18,0.000000,0.000000,0.310856,0.693376,0.290629,0.395342,0.601721,0.357736,0.266317,0.500252,0.076599,-0.325702,0.348104
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,19,0.000000,0.000000,0.299809,0.645798,0.257373,0.415061,0.636080,0.354639,0.282239,0.478317,0.083800,-0.305508,0.338490
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,20,1.000000,1.000000,0.295538,0.679751,0.265335,0.403142,0.635391,0.362100,0.286259,0.523337,0.073298,0.066766,0.311405
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,21,0.000000,0.000000,0.312235,0.657313,0.282199,0.381825,0.635818,0.364477,0.290392,0.500001,0.078297,-0.312367,0.327361
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,22,0.000000,1.000000,0.297215,0.693540,0.244006,0.395367,0.661822,0.367666,0.282904,0.495999,0.071683,-0.931059,0.332063
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,23,0.000000,0.000000,0.296756,0.624807,0.252602,0.376899,0.633543,0.359803,0.280342,0.512402,0.086573,-0.295084,0.309644
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,24,1.000000,0.000000,0.286878,0.676986,0.290167,0.428957,0.642650,0.353853,0.295394,0.523254,0.075925,0.683929,0.336121
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,25,1.000000,0.000000,0.312937,0.643720,0.297593,0.393682,0.648116,0.355679,0.276449,0.502422,0.083047,0.688698,0.325692
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,26,1.000000,0.000000,0.297703,0.675406,0.278380,0.430563,0.644668,0.373582,0.301589,0.499624,0.076856,0.681484,0.342298
0,low_signal_high_risk_shift,fragile_reaching,full_authority_boundary_v5,27,1.000000,1.000000,0.290996,0.635651,0.249379,0.397159,0.630493,0.362340,0.291699,0.496096,0.077030,0.081341,0.304643
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,0,1.000000,0.000000,0.362740,0.619666,0.310303,0.422412,0.537909,0.330332,0.324297,0.413202,0.117839,0.670257,0.410270
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,1,0.000000,0.000000,0.348488,0.631383,0.279587,0.389343,0.574371,0.317205,0.332263,0.430488,0.114266,-0.315880,0.419438
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,2,0.000000,0.000000,0.373847,0.644126,0.287646,0.390573,0.539223,0.330485,0.325670,0.452798,0.113459,-0.330855,0.414086
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,3,1.000000,0.000000,0.371623,0.646294,0.291551,0.412407,0.558486,0.332347,0.320919,0.467752,0.109877,0.667291,0.394069
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,4,0.000000,0.000000,0.355152,0.667246,0.289619,0.411186,0.540058,0.362982,0.334711,0.420206,0.102319,-0.337702,0.407146
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,5,1.000000,0.000000,0.352865,0.632494,0.305582,0.392066,0.552073,0.307629,0.332730,0.449883,0.112177,0.677447,0.406344
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,6,1.000000,0.000000,0.358469,0.629568,0.274298,0.393841,0.578155,0.340326,0.300693,0.433850,0.117462,0.680358,0.401807
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,7,0.000000,0.000000,0.353921,0.644933,0.280138,0.364652,0.582382,0.327785,0.319273,0.439176,0.113102,-0.318032,0.418529
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,8,0.000000,1.000000,0.357766,0.643686,0.290322,0.435194,0.553289,0.338951,0.339022,0.410119,0.108870,-0.952233,0.421347
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,9,1.000000,0.000000,0.364286,0.655177,0.304552,0.373757,0.575245,0.328200,0.302085,0.443883,0.105601,0.671307,0.418655
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,10,1.000000,0.000000,0.362045,0.659873,0.273821,0.400900,0.541887,0.340156,0.315042,0.447457,0.098286,0.668535,0.379244
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,11,1.000000,0.000000,0.366850,0.629279,0.296592,0.376715,0.587206,0.327163,0.313123,0.443557,0.116059,0.678860,0.406394
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,12,1.000000,1.000000,0.365432,0.633490,0.263157,0.335062,0.569802,0.315378,0.287761,0.450037,0.106214,0.068338,0.400963
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,13,0.000000,1.000000,0.358538,0.646656,0.272009,0.410058,0.580500,0.340913,0.315635,0.437113,0.105082,-0.945212,0.393966
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,14,0.000000,1.000000,0.363282,0.633859,0.294760,0.405362,0.576475,0.322864,0.317144,0.447169,0.112637,-0.944920,0.406803
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,15,1.000000,0.000000,0.372840,0.612544,0.280267,0.389253,0.541320,0.324275,0.302638,0.469910,0.119743,0.679105,0.391843
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,16,1.000000,0.000000,0.359598,0.634399,0.275674,0.395490,0.549848,0.326339,0.309177,0.446736,0.119505,0.677632,0.432166
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,17,1.000000,0.000000,0.376707,0.634488,0.298537,0.395947,0.563635,0.326693,0.320263,0.420173,0.114696,0.670688,0.402038
0,low_signal_high_risk_shift,fragile_reaching,minus_consequence_risk_model,18,0.000000,0.000000,0.371493,0.648933,0.328002,0.396994,0.572626,0.323428,0.321677,0.439108,0.106254,-0.335270,0.390305
